"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"burnyourbonus.co.uk",". The study"," uses","  data  from more"
"discuss.pressgazette.co.uk","vector map now"," uses","  default"
"discuss.pressgazette.co.uk","now"," uses","  attribute"
"spartacus.schoolnet.co.uk","if somebody"," uses","  chemical"
"opsi.gov.uk","machine that"," uses","  suction  to"
"eng.warwick.ac.uk","- this"," uses","  high-energy"
"number-10.gov.uk","classroom and"," uses","  science  as the"
"number-10.gov.uk","classroom and"," uses","  science  as its"
"forum.digitalspy.co.uk","be used. This"," uses","  ultrasound"
"railscot.co.uk",". â? ¢"," Uses",""
"southbucks.gov.uk","of England. He"," uses","  buzzers  and"
"mirror.co.uk",". Oxford"," Uses","  ht  ://Dig"
"kwintessential.co.uk","declares he"," uses","  compass  north"
"futuremovies.co.uk","Joule cycle"," uses","  air  as the"
"york.ac.uk","function that"," uses","  va_arg(ap  ,"
"futurelab.org.uk",", the guide"," uses","  information"
"bbc.co.uk","Britons, and"," uses",""
"burnyourbonus.co.uk","GenRate that"," uses",""
"eprints.gla.ac.uk","someone who"," uses","  tobacco  in no"
"wessexscene.co.uk","infection and"," uses","  â  ? ?stored"
"spartacus.schoolnet.co.uk","software"," uses","  trend  graphs"
"watford3r-pct.nhs.uk","and"," uses","  arts"
"phrases.org.uk","and"," uses","  arts"
"clieuk.co.uk",". He now"," uses","  definitions"
"cheng.cam.ac.uk","for power"," uses","  keys  to"
"mailman-new.greennet.org.uk",". The module"," uses","  traceback"
"mailman-new.greennet.org.uk","''. (In fact, it"," uses","  sys  ."
"tate.org.uk","a system that"," uses","  fingerprint"
"spartacus.schoolnet.co.uk","of someone who"," uses","  snus  from the"
"casi.org.uk","Platform"," uses","  broadband"
"brookes.ac.uk","The commander"," uses","  information"
"brookes.ac.uk","period. The XO"," uses","  replacement"
"phgu.org.uk","a site that"," uses","  frames"
"paulflynnmp.co.uk","work as it only"," uses","  object  ''s"
"moviemail-online.co.uk","detection"," uses","  technologies"
"mirror.co.uk","(glob"," uses","  fnmatch(  ) to"
"televisionheaven.co.uk","Desktop"," uses","  software"
"brianmac.demon.co.uk","from above. It"," uses","  colors  ,"
"users.ox.ac.uk","board"," uses","  cookies  to"
"filmfocus.co.uk",". No one who"," uses","  computers  is"
"psigate.ac.uk","clearly"," uses","  resources  and"
"leeds.gov.uk","set. It"," uses","  codes  either"
"leeds.gov.uk","has size 94 and"," uses","  codes"
"patp3.webbler.co.uk","equally,"," uses","  lots  of"
"allotment.org.uk","to inflict. It"," uses","  suicide"
"poetrysociety.org.uk","Germany, it"," uses","  rapeseed  as"
"bl.uk",", the music"," uses","  loops  and"
"videoforums.co.uk","tastelessly"," uses","  footage  from"
"nmm.ac.uk","in the UK who"," uses","  computer"
"televisionheaven.co.uk","why Paul"," uses","  words  which"
"televisionheaven.co.uk","bond. He"," uses","  doulo&w  ,"
"televisionheaven.co.uk","where he"," uses","  doulo&w  )."
"televisionheaven.co.uk","deliberately"," uses","  languages  and"
"english-heritage.org.uk","one company"," uses","  mark  to market"
"english-heritage.org.uk",", and the other"," uses","  cost"
"english-heritage.org.uk","developer"," uses","  land  for"
"durham21.co.uk","to GUIFrame."," Uses","  default"
"photo-i.co.uk","by someone who"," uses","  drugs  or"
"jncc.gov.uk","healthy. BMI"," uses","  weight  and"
"nationalschool.gov.uk",". The level"," uses","  teleports  to"
"poetrysociety.org.uk","track. Z - Bias"," uses","  alot  of break"
"allotment.org.uk","cases"," uses","  air"
"chester.ac.uk",". ARSOA"," uses","  intelligence"
"radioandtelly.co.uk",". She"," uses","  teams  of women"
"ff1600.co.uk","Office and"," uses","  information"
"rcpbml.org.uk","Cherouvim"," uses",""
"kingston.gov.uk","''s HTML form"," uses","  method=""post"
"ess.uwe.ac.uk","already"," uses","  colour"
"theregister.co.uk","at pH 2 and"," uses","  iron  and"
"discuss.pressgazette.co.uk","data) RLLOMAP"," uses","  version  3.0 of"
"number-10.gov.uk","which"," uses","  storywriting"
"number-10.gov.uk",". Story Links"," uses","  storywriting"
"cnetwork.co.uk",") kiosk, which"," uses","  fingerprint"
"sitcom.co.uk","meetings and"," uses","  data  from the"
"cain.ulst.ac.uk","facility that"," uses","  radar  and"
"cain.ulst.ac.uk","code"," uses","  stealth"
"soulwalking.co.uk",". This paper"," uses","  data  from the"
"geog.port.ac.uk","exhibit,"," uses","  woodcut"
"mfiles.co.uk","that DFID"," uses","  theatre  of one"
"thisistravel.co.uk",". The report"," uses","  data  from the"
"nwda.co.uk",". The site"," uses","  powerpoint"
"nwda.co.uk",": This website"," uses","  data  from"
"catholic-ew.org.uk","Music, Barry"," uses","  voices  in this"
"heacademy.ac.uk",". Barney"," uses","  imagery  ,"
